71175.1921,100170.8608,131704.9426,162002.7567,177080.0882,193800.718,206217.1914,214109.7064,225906.5046,236540.1967
61218.48062,151369.1065,216072.4682,253702.1072,291804.4823,312146.692,331360.527,352458.0232,368833.8445,NA
74156.69892,171160.8736,232658.6218,286669.6289,330594.4452,358326.8126,381760.073,397860.7667,NA,NA
67618.5497,147369.2428,213362.8582,252770.5877,288426.4009,326394.8423,342976.7636,NA,NA,NA
65097.39705,140601.934,190400.4853,232941.4477,278248.8318,307092.8133,NA,NA,NA,NA
49919.38547,121932.3968,166728.8545,202240.8519,239334.6155,NA,NA,NA,NA,NA
63310.70908,156468.6628,221067.9986,274857.7052,NA,NA,NA,NA,NA,NA
45668.49614,114857.5724,170335.5101,NA,NA,NA,NA,NA,NA,NA
32941.71819,78279.06489,NA,NA,NA,NA,NA,NA,NA,NA
30836.36311,NA,NA,NA,NA,NA,NA,NA,NA,NA
