617687.5069,857297.3901,874005.0185,872259.3341,878159.181,881700.6867,881029.0854,881092.3503,880117.0006,884168.7186
613183.1938,871991.479,1006126.71,1047406.756,1070401.841,1079154.122,1087106.356,1108919.673,1103801.364,NA
545606.9253,767523.1332,812581.4472,823577.3649,830682.5723,817257.6866,817420.1138,818389.6869,NA,NA
615684.6909,785985.1509,813419.3302,824284.2107,830768.2342,832767.7599,834261.746,NA,NA,NA
924337.6401,1804238.778,1844279.092,1875058.341,1880833.313,1877856.061,NA,NA,NA,NA
773490.6344,1113846.666,1159930.96,1177406.96,1180653.357,NA,NA,NA,NA,NA
872223.7053,1170555.064,1213280.224,1219196.841,NA,NA,NA,NA,NA,NA
1604797.241,2095590.819,2160416.783,NA,NA,NA,NA,NA,NA,NA
1923795.885,2431056.447,NA,NA,NA,NA,NA,NA,NA,NA
1394917.566,NA,NA,NA,NA,NA,NA,NA,NA,NA
