142489.2964,235973.7049,280946.2297,318511.494,344178.5823,358030.315,365409.4362,373102.796,377084.1616,377243.7468
141890.9301,249224.7505,314638.4965,370416.3599,411519.0766,440166.3503,443731.9218,448392.0511,448329.1656,NA
117946.2436,238823.8108,304754.1509,355528.2416,386778.7199,400426.2954,407097.2017,411056.6677,NA,NA
114441.8174,244023.7711,324192.2899,372938.958,397749.8163,430403.2868,445374.2775,NA,NA,NA
225284.6056,470155.5862,569266.0782,638059.2229,675224.0877,697227.1548,NA,NA,NA,NA
122077.4786,280630.8549,343425.55,372809.0359,395977.663,NA,NA,NA,NA,NA
221776.2648,409333.2703,486860.3517,530719.289,NA,NA,NA,NA,NA,NA
286073.4717,509381.6015,607867.4347,NA,NA,NA,NA,NA,NA,NA
230005.2081,443585.7104,NA,NA,NA,NA,NA,NA,NA,NA
174607.3549,NA,NA,NA,NA,NA,NA,NA,NA,NA
