194465.6361,448967.9708,529335.6223,558610.4351,575087.2474,582501.6759,589017.7477,595123.074,596037.8591,595195.5331
199272.9894,491892.7925,625886.1663,688524.1318,713031.992,717845.4963,718824.0116,723426.378,727229.9477,NA
158187.6743,359577.4145,436682.8748,461008.4534,472156.5574,480462.7952,479350.4939,484669.3703,NA,NA
188531.1629,425630.2849,524113.9201,555789.0623,567920.9366,575786.6941,579188.3817,NA,NA,NA
212730.5819,477604.7557,562038.1059,615299.299,634671.6891,637693.9924,NA,NA,NA,NA
186625.1917,415702.9544,491435.5258,541783.0004,550042.8188,NA,NA,NA,NA,NA
250751.5402,543075.9904,675301.2532,721165.4244,NA,NA,NA,NA,NA,NA
377041.5848,774503.3865,906925.9475,NA,NA,NA,NA,NA,NA,NA
266241.4713,553832.786,NA,NA,NA,NA,NA,NA,NA,NA
282298.6962,NA,NA,NA,NA,NA,NA,NA,NA,NA
