67640.76949,175941.9551,274136.8077,370348.9893,439275.6185,516650.5264,581094.4481,624944.1634,647565.1767,669060.4919
62462.70101,201190.1154,329913.7193,491432.5227,595485.986,833174.0251,888287.4393,940338.7589,985222.6282,NA
45901.75867,151359.8588,291759.6012,429554.8988,559063.0798,668207.3121,730845.6792,769045.7512,NA,NA
46512.36811,165009.008,321590.016,590448.5923,849119.7069,998013.1007,1103477.862,NA,NA,NA
42216.71241,160360.1354,348091.485,533567.311,678679.964,868872.3574,NA,NA,NA,NA
32854.86878,148950.613,292340.375,462675.2793,579691.3109,NA,NA,NA,NA,NA
47439.40139,186139.9524,331368.0115,459261.3112,NA,NA,NA,NA,NA,NA
59858.12546,215332.6272,351918.8035,NA,NA,NA,NA,NA,NA,NA
42037.82454,183577.1707,NA,NA,NA,NA,NA,NA,NA,NA
50093.66774,NA,NA,NA,NA,NA,NA,NA,NA,NA
